title,#,author,reviewer,reviewer link,reviewer ID,editor (internal use),isbn,hide_ibooks,book_seamus_id,author_seamus_id,review_seamus_id,tags,genre (internal use),text,random numbers
"League Of Denial: The NFL, Concussions And The Battle For Truth",194,Mark Fainaru-Wada and Steve Fainaru,David Greene,http://www.npr.org/people/4510160/david-greene,"host, <em>Morning Edition</em>",Nicole,0770437540,,228921701,229181970,,"Science & Society, NPR Staff Picks, Eye-Opening Reads",Nonfiction,"The book should come with a warning label for football fans: Watching a game will never be the same after you read it. The authors tell painful stories of NFL players whose names you may recognize &mdash; Mike Webster, Junior Seau, Dave Duerson, to name a few. They introduce you to scientists who fell into researching football-related concussions almost by accident. And they ask tough questions of the NFL, without taking their conclusions too far.",0.818736754
The Circle,49,Dave Eggers,Audie Cornish,http://www.npr.org/people/4986687/audie-cornish,"host, <em>All Things Considered</em>",Nicole,0385351399,,236152590,,,"NPR Staff Picks, Mysteries & Thrillers, It’s All Geek To Me, The Dark Side, Rather Long, Book Club Ideas",Fiction,"In <em>The Circle,</em> David Eggers thankfully doesn't slam you over the head with WHAT’S WRONG WITH THE KIDS TODAY. Instead, he walks you through a Silicon Valley company &mdash; the Circle &mdash; so very familiar (at least in its own self-mythologizing) that you feel right at home with his almost-heroine, Mae, the newest Circle employee. Mae doesn't just embrace this world; she thrives in it. And it's not just because there are bowling alleys in the employee lounge like a certain tech company we know (*cough* Google ).  This is about the slow boil of the frog: how one gets acclimated to shifting values about privacy, respect and what makes a meaningful relationship.",0.631924057
"The Art Of Youth: Crane, Carrington, Gershwin, And The Nature Of First Acts",178, Nicholas Delbanco,Susan Stamberg,http://www.npr.org/people/2101242/susan-stamberg,"special correspondent, <em>Morning Edition</em>",Nicole,0544114469,TRUE,244797480,,,"Biography & Memoir, Science & Society, For History Lovers, The Dark Side, NPR Staff Picks, For Art Lovers",,"A writer, a painter, a composer. Two of them famous; the third not so much. All died before age 40, leaving masterpieces of art (well, the writer and composer anyway!). Nicholas Delbanco says that Stephen Crane, Dora Carrington and George Gershwin had certain characteristics in common as young creators: All were energetic, exuberant, passionate about their art and received early attention and praise. The book has an academic feel, with literary quotations and helpful analysis. I was moved, thinking about such disparate talents and ambitions emerging in a blaze, then, sadly, dying before their talents could mature.",0.789977537
The Burgess Boys: A Novel,172,Elizabeth Strout,Michel Martin,http://www.npr.org/people/5201175/michel-martin,"host, <em>Tell Me More</em>",Nicole,1400067685,,174674704,176020645,174869994,"NPR Staff Picks, Realistic Fiction, Family Matters, Book Club Ideas",Fiction,"A dirty little secret of being an NPR host (OK, for me anyway) is that we read what we <em>have</em> to read, not necessarily what we <em>want</em> to read. But when I saw that Elizabeth Strout had something new, I put it on my personal reading list and devoured it in every spare minute I had. <em>The Burgess Boys</em> is set in Maine and is about two brothers who are bonded by a childhood tragedy. They’ve each grown up and more or less recovered, but they live very separate lives, until they reluctantly go back home to help a nephew who has been accused of a hate crime. If you have difficult relations with a sibling, if you have ever wondered why a seemingly nice kid does something hurtful and mean, if you’ve ever had an internal struggle about new people in your neighborhood ... this book offers a gentle but clear-eyed way of thinking about those things. ",0.542241078
Claire Of The Sea Light,18,Edwidge Danticat,Lynn Neary,http://www.npr.org/people/2100948/lynn-neary,"correspondent, Arts Desk",Nicole,030727179X,,207398202,214857669,,"NPR Staff Picks, Realistic Fiction, Tales From Around The World, Family Matters, The Dark Side, Book Club Ideas",Fiction,"Claire lives in a village by the sea with her beloved father. Every year on her birthday they visit the grave of her mother, who died giving birth to Claire. But on her seventh birthday, Claire runs away when she realizes that her father, fearing he cannot take care of her, is finalizing plans to give her away to a wealthy woman whose own child was killed in an accident. Claire's disappearance is the catalyst for a series of interlocking stories about the hidden lives and loves of the people in this Haitian village. From the fisherman's hut by the sea to the hillside homes of the rich, this is a revealing portrait that mixes a touch of magic with the tough reality of life in Haiti. ",0.13953622
Fosse,104,Sam Wasson,Bob Mondello,http://www.npr.org/people/3813466/bob-mondello,"critic, Arts Desk",Nicole,0547553293,,243216935,242536059,243726400,"NPR Staff Picks, Biography & Memoir, It’s All Geek To Me, Rather Long, For History Lovers, Seriously Great Writing, For Art Lovers",Nonfiction,"I grew up during the golden era of Broadway choreography, enamored of Michael <em>A Chorus Line</em> Bennett's leaps and extensions, Gower <em>42nd Street</em> Champion's production number overkill and Jerome <em>West Side Story</em> Robbins' storytelling ballets. But no one fired my imagination like Bob Fosse, whose bumping, grinding, undulating dancers in <em>Sweet Charity,</em> <em>Pippin</em> and <em>Chicago</em> often seemed to be all elbows, shoulder rolls and cocked bowler hats. Sam Wasson's <em>Fosse</em> tells us how his early days in burlesque (he was performing on the same stage as strippers from the age of 15) informed his choreography, and why the women he cheated on &mdash; most especially his wife and muse Gwen Verdon &mdash; stuck with him as he was razzle-dazzling every skirt on Broadway and in Hollywood. It’s filled with the kind of inside detail that comes of substantial research, and vivid descriptions that turn that research into a sort of movie in your head.",0.59037598
The Pomegranate Lady And Her Sons: Selected Stories,184,Goli Taraghi ,Arun Rath,,"host, <em>Weekends On All Things Considered</em>",Rose,039306333X,,244798221,,,"Realistic Fiction, Poetry & Short Stories, NPR Staff Picks, Tales From Around The World",,"I have met the pomegranate lady, and you may have as well. If you’ve ever made a disarmingly intimate connection with a stranger while traveling, you’ve had the experience. Connections and dislocations drive the characters in these stories: dislocations of place -- exiles who end up in Paris, but never really leave Iran behind, and dislocations of time -- elites who preserve a bubble of the ""old,"" secular, drinking, partying Iran -- upon which modern, revolutionary Iran intrudes, with tragic-comedic results. Constantly moving between cultures is not easy on these individuals -- but perhaps because of that, it reveals so much raw humanity, both cruelty and compassion.",0.953218412
Sweet Delights From A Thousand And One Nights: The Story Of Traditional Arab Sweets,200,"Habeeb Salloum, Muna Salloum, Leila Salloum Elias",Neda Ulaby,http://www.npr.org/people/3850482/neda-ulaby,"reporter, Arts Desk",Nicole,1780764642,TRUE,248746957,,,"Cookbooks & Food, Science & Society, For History Lovers, NPR Staff Picks, Tales From Around The World",,"Bake baklava? Forget it. Mine always comes out gummy and sodden, unlike the crisply perfumed trays I get UPS’d from Detroit’s <a href=”http://www.shatila.com/” target=""_blank"">Shatila Bakery</a>. (There, now you have my best dinner party secret.) That unctuous alchemy of nuts and honey dates from the 10th century, when princes and caliphs wrote cookbooks, sometimes in rhyme. Habeeb, Muna and Leila Salloum's recipes stretch from the Gulf States to the Levant to North Africa and include both contemporary and historical versions (although sheep fat is thankfully replaced by butter). They also trace the DNA of Arab sweets in food from around the world, including cannoli, <em>tres leches</em> cake and ice cream cones.",0.496416682
The Summer Prince,167,Alaya Dawn Johnson,Petra Mayer,http://www.npr.org/people/2100882/petra-mayer,NPR Books staff,Camila,0545417791,TRUE,171812643,,172878955,"Young Adult, Tales From Around The World, Science Fiction & Fantasy, NPR Staff Picks, It's All Geek To Me, Love Stories",YA,"In a far-future, post-nuclear-apocalypse Brazil, artist June and her best friend, Gil, find their lives upended when Gil falls in love with their city’s newly elected Summer King, Enki. Yes, it’s a post-apocalyptic, slightly dystopian teen love triangle, but with a twist: Our heroine becomes the third wheel in a sensitively depicted romance between her two male friends. And the antagonists in the city’s ossified government aren’t entirely unsympathetic. <em>The Summer Prince</em> is that rare young adult title that’s comfortable with ambiguity and nuance &mdash; bolstered with solid world-building and well-seasoned with tropical rhythms.",
From Scratch: Inside The Food Network,97,Allen Salkin,Barrie Hardymon,,<em>Weekend Edition</em> staff,Rose,0399159320,,223172349,231527991,,"Cookbooks & Food, Science & Society,  NPR Staff Picks",Nonfiction,"Do you like food? Do you like gossip? Do you like TV? Terrific. Fire up the slow cooker and open up a copy of Allen Salkin’s <em>From Scratch: Inside the Food Network.</em> It’s the behind-the-scenes story of the birth of the network that served up stars like Emeril Lagasse, Bobby Flay, Rachael Ray and the notorious Paula Deen. Sure, it’s bursting with juicy bits &mdash; the spliced-in porn on <em>Too Hot Tamales,</em> Rachel Ray almost burning down Emeril’s set &mdash; but it’s also the story of how cooking shows went glam, from PBS on weekend mornings all the way to Giada’s lustrous locks and Paula’s butter balls. Bonus: It’s a fascinating primer on the pioneers of early cable television.",
How To Get Filthy Rich In Rising Asia,34,Mohsin Hamid ,Alan Cheuse,,"critic and author, most recently of <em>Paradise, Or, Eat Your Face: A Trio of Novellas</em>",Rose,1594487294,,172894389,174021020,173547287,"Realistic Fiction, Tales From Around The World, Book Club Ideas",Fiction,"This novel, by Mohsin Hamid, employs the conceit of a how-to book for South Asians. Its exemplar is a country boy on the make, a serious character whose essence remains his own yet who stands as a figure representative of his time and place. Each of the chapter titles offers a sometimes straightforward, sometimes ironic imperative. “Move to the City.” “Get an Education.” “Don't Fall in Love.” “Learn from a Master,” and so forth. Given the unabashed gimmickry of Hamid's how-to design, it's a wonderful surprise to find his book so engaging.",
Five Star Billionaire: A Novel,193,Tash Aw,Rose Friedman,,NPR Books staff,Petra,812994345,,195872199,,195178259,"Realistic Fiction, Tales From Around The World, Book Club Ideas",,"Five people make the journey from Malaysia to Shanghai. One is a rising pop star; another, a businesswoman with a surprising past. There’s the country girl determined to make good in the city, and the wealthy boy trying to discard a family legacy. They all sound like archetypes you’ve met before, but the subject of this wonderful novel isn’t really any of them &mdash; it’s the booming city of Shanghai, and the questions it poses to those who move there: In a city of more than 20 million, what do you have to do to stand out, and in the end, do you really want to?",
"Love, Dishonor, Marry, Die, Cherish, Perish: A Novel",116,David Rakoff,Heller McAlpin,,book critic,Rose,038553521X,,188730448,,202302768,"Realistic Fiction, Poetry & Short Stories, Love Stories, Seriously Great Writing, Rather Short, Book Club Ideas, Historical Fiction",Poetry/Fiction,"David Rakoff's posthumous first novel, written in rhyming verse that's more akin to Dr. Seuss than T.S. Eliot, is a seductive heartbreaker. Its 12 cleverly connected vignettes span much of the 20th century and are filled with the sly, sharp social commentary that made him a perennial favorite on <em>This American Life.</em> Spinning rhymes like ""San Francisco"" and ""Crisco,"" ""paradise"" and ""pubic lice,"" and ""Christian Lacroix"" and ""bourgeois"" while dying at 47 from cancer, Rakoff infused <em>Love, Dishonor, Marry, Die, Cherish, Perish</em> not just with his withering wit but with a piercing, wistful appreciation for life, love and art. ",
Super Graphic: A Visual Guide To The Comic Book Universe,13,Tim Leong,Glen Weldon,http://www.npr.org/people/137817249/glen-weldon,author of <em>Superman: The Unauthorized Biography</em>,Beth/Petra,1452113882,,243216825,,,"Comics & Graphic Novels, It’s All Geek To Me, Science Fiction & Fantasy, Rather Short, Funny Stuff, Eye-Opening Reads, For Art Lovers",Comics/Graphic Novels,"Infographics, which utilize eye-popping design to convey data with cleverness and clarity, are, let’s admit, a fairly nerdy pursuit already. Tim Leong takes the whole thing several steps further, creating flat-out beautiful charts and diagrams to quantify and calibrate the chaotic world of superhero culture with wit and ruthless efficiency. (“A Venn Diagram of Superhero Comic Tropes,” for example, reveals the five heroes and one villain who exist at the nexus of Cape, Tragically Dead Parents, and Underwear on the Outside.) Hugely fun, and impeccably done.",
My Education,171,Susan Choi,Meg Wolitzer,,"author, most recently of <em>The Interestings</em>",Rose,0670024902,,196336191,196347116,196620882,"Realistic Fiction, Love Stories, Let's Talk About Sex, Seriously Great Writing, Book Club Ideas",Fiction,"<em>My Education</em> can be roughly described as an academic novel, but unlike many books in that category, it’s thrilling and edgy. There’s no school song here, and nobody sits in a study sipping sherry. Instead, Susan Choi’s main character, graduate student Regina Gottlieb,  falls madly in love with her sexy professor’s gorgeous wife, and they begin an affair that becomes all-consuming, causing Regina to completely lose interest in everyone and everything else &mdash; including her studies. Choi writes evocatively and excitingly about passion, and equally so about youth &mdash; that fleeting, fascinating and all-too-recognizable time of life. ",
Bolivar: American Liberator,189,Marie Arana,Marcela Valdes,http://marcelavaldes.com/,book critic,Camila,1439110190,,176782369,176783269,,"Science & Society, Tales From Around The World, Biography & Memoir, For History Lovers, Rather Long",Nonfiction,"He was born into a fabulously wealthy family in 1783. He drove the Spanish monarchy out of Venezuela, Colombia, Panama, Ecuador, Bolivia and Peru. He loved Voltaire and Montesquieu; he died at 47, impoverished and exiled; he inspired generations of dictators and democrats. In Marie Arana’s hands, the life of Simon Bolivar is a rousing adventure, fit for the big screen &mdash; a drama of military triumph and Enlightenment ideals blemished by brutal authoritarianism. Popcorn not included.",
The Twelve Tribes Of Hattie,68,Ayana Mathis,Jean Zimmerman,http://www.jeanzimmerman.com,"book critic and author, most recently of <em>The Orphanmaster</em>",Camila,0307949702,,166887208,166887803,,"Realistic Fiction, For History Lovers, Eye-Opening Reads, Book Club Ideas, Seriously Great Writing, Historical Fiction, Family Matters",Historical Fiction,"<p>Ayana Mathis’ debut novel lays out the lives of the Shepherd family -- two parents and nine children, each drawn with tenderness and complexity. Hattie and August move to Philadelphia from Georgia in 1923, during the Great Migration of African-Americans. The characters face gritty realities, but the author crafts their stories with pitch-perfect authority and grace. Her language manages to be both luminously metaphorical and down to earth. One tidbit: Franklin, an alcoholic seaman in 1969 Vietnam, recalls, “the seawater was syrup on my body.” Does a much-talked-about book (an Oprah pick) deserve the ballyhoo? In this case, yes.</p><p><em>Some books from December 2012 were published too late to make it on last year's roundups; they were considered as candidates this year.</em></p>
",
Americanah: A Novel,44, Chimamanda Ngozi Adichie ,Nancy Pearl,http://www.nancypearl.com/,librarian and book critic,Beth/Petra,0307271080,,181678037,195598496,182313317,"Realistic Fiction, Love Stories, Tales From Around The World, Book Club Ideas, Rather Long",Fiction,"A terrifically thought-provoking and entertaining novel &mdash; the author’s fourth work of fiction and third novel, it features Ifemelu, a young Nigerian woman who comes to the U.S. to attend college and stays for a number of years, leaving her boyfriend, Obinze, behind in Lagos. As a ""Non-American Black,"" Ifemelu has a unique take on what she calls Racial Disorder Syndrome, which she writes about in her extremely popular blog, Raceteenth. Chimamanda Ngozi Adichie has described her novel as being about love, hair (it opens in a hair-braiding salon in Trenton, N.J., far from the bucolic Princeton where Ifemelu lives), and race. And nobody’s written about race in America in quite the way Adichie has, offering readers much to ponder.  Book groups will find this to be a great choice &mdash; and don’t miss the author’s wonderful <a href=""http://www.ted.com/talks/chimamanda_adichie_the_danger_of_a_single_story.html"" target=""_blank"">TED</a> and <a href=""http://www.youtube.com/watch?v=hg3umXU_qWc"" target=""_blank"">TEDx</a> talks.",
Tenth Of December: Stories,143,George Saunders,Jane Ciabattari,http://www.janeciabattari.com,book critic and author of <em>Stealing the Fire</em>,Camila,0812993802,,167552018,169507764,167553867,"Poetry & Short Stories, The Dark Side, Seriously Great Writing, Funny Stuff, Seriously Great Writing, Book Club Ideas",Short stories,"George Saunders continues to reinvent the short story in this rambunctious and compassionate fourth collection. He offers wildly absurd tales like ""The Semplica Girl Diaries,"" in which ""SGs"" are trophy acquisitions, live lawn ornaments of young women from places like Laos and Somalia, and ""Escape from Spiderhead,"" in which a young inmate finds a way out of experiments triggering faux lust and despair. And he captures the strange flow of our disjointed times in tales of a teenage girl threatened with violence and a cancer patient intent on suicide who finds his life spirit uncannily rekindled. The artist's job, <a href=""http://www.newyorker.com/online/blogs/books/2012/10/this-week-in-fiction-george-saunders.html"" target=""_blank"">Saunders has said</a>, is to be ""a conduit to mystery."" Job well done. ",
A Tale For The Time Being,29,Ruth Ozeki,Alan Cheuse,,"critic and author, most recently of <em>Paradise, Or, Eat Your Face: A Trio of Novellas</em>",Rose,0670026638,,174214204,174215667,174231273,"Realistic Fiction, Tales From Around The World, For History Lovers",Fiction,"A novelist named Ruth finds the diary of a Japanese schoolgirl, washed up in the wake of the tsunami and the Fukushima disaster, on the beach of her island home in British Columbia. Several lives become entangled in a dreamlike way as this exquisitely composed novel unfolds.",
Kansas City Lightning: The Rise And Times Of Charlie Parker ,6,Stanley Crouch,Michael Schaub,http://www.npr.org/people/151841337/michael-schaub,book critic,Beth/Tanya,0062005596,,225765410,237040499,225766018,"Biography & Memoir, For History Lovers, For Art Lovers",Biography,"Good artists make good art; great artists change the way we think and talk about it. Charlie Parker was great, and his effect on jazz was so incredible and outsize, it’s easy to forget that he was only 34 when he died. <em>Kansas City Lightning,</em> by esteemed cultural critic Stanley Crouch, isn’t just a biography of Parker; it’s also a history of one of the most important times in American music. Crouch’s prose is, as usual, perfect &mdash; it takes a genius to write about one, perhaps, and <em>Kansas City Lightning</em> is a thoughtful, generous look at one of the country’s most important artists.",
Ottolenghi: The Cookbook,14,"Yotam Ottolenghi, Sami Tamimi
",Heller McAlpin,,book critic,Rose,160774418X,,221676768,,,"Cookbooks & Food, Tales From Around The World",Cookbook,"Following the success of <em>Jerusalem</em> and <em>Plenty,</em> Yotam Ottolenghi's signature cookbook, originally published in England in 2008, is finally available in a U.S. edition. I rate cookbooks on their IQs &mdash; that's Irresistibility Quotients, or the proportion of recipes I can't wait to make &mdash; and Ottolenghi's brightly flavored, glistening Mediterranean-Israeli-Arab-inflected recipes score high. How's this for mouthwatering: “Cauliflower and cumin fritters with lime yogurt,” “Turkey and corn meatballs with roasted red pepper sauce” and “Apple and olive oil cake with maple icing”? ",
Cat Sense: How The New Feline Science Can Make You A Better Friend To Your Pet,,John Bradshaw,Petra Mayer,http://www.npr.org/people/2100882/petra-mayer,NPR Books staff,Camila,0465031013,,219253282,219254626,,"Science & Society, NPR Staff Picks, Eye-Opening Reads",Nonfiction,"I gave this book to every cat-loving friend of mine this year, and to judge by the number of times they’ve quoted it back to me, <em>Cat Sense</em> is an indispensable addition to the cat-lore canon.  Even if it did make me feel guilty about having three cats: Did you know most cats really prefer to be alone?  <em>Cat Sense</em> is jam-packed with fascinating (and contrarian) tidbits like that, covering everything from why cats purr to why they bring us dead things &mdash; and why we keep them around, even though their original purpose as mousers is mostly obsolete.  Obligatory cat pun coming up ... this book is a purrfect gift for the cat lady or cat dude in your life.",
Life After Life,162,Kate Atkinson,Emily Ecton,,<em>Wait Wait ... Don't Tell Me!</em> staff,Nicole,0316176486,,175278619,175605206,175696606,"NPR Staff Picks, Historical Fiction, Science Fiction & Fantasy, For History Lovers, Tales From Around The World, The Dark Side, Rather Long, Book Club Ideas, Seriously Great Writing",Fiction,"Ursula Todd is born, lives and dies, and then repeats the process over and over, as even the smallest choices change her fate completely (or not). <em>Life After Life</em> is dark and funny and suspenseful and sad all at the same time. You'll never think of the Spanish flu the same way again.",
